"GroupID","Hostname","Configuration","Title"
"V-14240","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-14241","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-14242","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-15991","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-57639","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-40206","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-36656","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-36657","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-16021","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-16048","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-14268","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-14269","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-14270","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-15727","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-3481","ZNC121A0SCAP06","Completed","Windows Server 2012/2012 R2 Domain Controller STIG"
"V-46477","ZNC121A0SCAP06","Completed","Microsoft Internet Explorer 11 Security Technical Implementation Guide"
"V-26613","ZNC121A0SCAP06","Ongoing","Microsoft Excel 2013 STIG"
"V-17584","ZNC121A0SCAP06","Completed","Microsoft Access 2013 STIG"
"V-17603","ZNC121A0SCAP06","Completed","Microsoft Access 2013 STIG"
"V-77805","ZNC121A0SCAP06","Ongoing","Windows 10 Security Technical Implementation Guide"
"V-74699","ZNC121A0SCAP06","Ongoing","Windows 10 Security Technical Implementation Guide"
"V-63595","ZNC121A0SCAP06","Ongoing","Windows 10 Security Technical Implementation Guide"
"V-63599","ZNC121A0SCAP06","Ongoing","Windows 10 Security Technical Implementation Guide"
"V-63599","ZNC121A0SCAP06","Ongoing","Windows 10 Security Technical Implementation Guide"
"V-63839","ZNC121A0SCAP06","Completed","Windows 10 Security Technical Implementation Guide"
"V-21960","ZNC121A0SCAP06","Ongoing","Windows Server 2012/2012 R2 Domain Controller STIG"
